"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"309","Andrei Iosivas","CIN","12","WR99","","","275","275.0"
"294","Trey Sermon","IND","14","RB79","","269","283","276.0"
"310","Jake Browning","CIN","12","QB41","","","276","276.0"
"313","Jeff Wilson Jr.","MIA","6","RB84","","","277","277.0"
"297","Darius Slayton","NYG","11","WR94","","252","304","278.0"
"315","Deuce Vaughn","DAL","7","RB85","","279","","279.0"
"316","Tre Tucker","LV","10","WR103","","280","","280.0"
"295","Elijah Moore","CLE","10","WR92","","250","313","281.5"
"299","Kendrick Bourne","NE","14","WR95","","259","305","282.0"
"318","Jerick McKinnon","","","RB87","","","282","282.0"
"320","Evan Hull","IND","14","RB88","","283","","283.0"
"304","K.J. Osborn","NE","14","WR97","","285","289","287.0"
"311","Malik Washington","MIA","6","WR100","","277","303","290.0"
"322","Michael Thomas","","","WR105","","","290","290.0"
"323","A.T. Perry","NO","12","WR106","","290","","290.0"
"314","Treylon Burks","TEN","5","WR102","","287","295","291.0"
"312","Josh Reynolds","DEN","14","WR101","","276","308","292.0"
"324","Louis Rees-Zammit","KC","6","RB89","","294","","294.0"
"321","Los Angeles Chargers","DST","5","DST28","","295","294","294.5"
"319","Jonathan Mingo","CAR","11","WR104","","282","310","296.0"
"325","Los Angeles Rams","DST","6","DST29","","297","","297.0"
"317","Rasheen Ali","BAL","14","RB86","","281","316","298.5"
"326","Alec Pierce","IND","14","WR107","","","299","299.0"
"327","Xavier Gipson","NYJ","12","WR108","","299","","299.0"
"328","Jauan Jennings","SF","9","WR109","","","300","300.0"
"329","Eric Gray","NYG","11","RB90","","","301","301.0"
"330","Frank Gore Jr.","BUF","12","RB91","","302","","302.0"
"331","Gerald Everett","CHI","7","TE40","","303","","303.0"
"332","Chase McLaughlin","TB","11","K22","","","309","309.0"
"333","Allen Lazard","NYJ","12","WR110","","","314","314.0"
"334","Emari Demercado","ARI","11","RB92","","","315","315.0"
"335","Cam Akers","HOU","14","RB93","","","317","317.0"
""
""
