Player,Team,POS,PASS_ATT,PASS_CMP,PASS_YD,PASS_TD,INTS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,REC_ATT,FL,FPTS
Saquon Barkley,NYG,RB,0,0,0,0,0,246.1,"1,052.80",6.7,55.5,420.5,2.1,0,0.8,198.3
Nick Chubb,CLE,RB,0,0,0,0,0,242.3,"1,182.50",8.6,25.1,205.5,1.1,0,0.9,195
Javonte Williams,DEN,RB,0,0,0,0,0,232.3,"1,016.60",7.4,48.1,367.2,2.3,0,1.1,194.4
D'Andre Swift,DET,RB,0,0,0,0,0,222.6,912.7,6.7,59.4,436.9,2.2,0,1.2,185.6
David Montgomery,CHI,RB,0,0,0,0,0,233.5,953.9,7.4,43.3,342.3,2,0,0.7,184.8
Ezekiel Elliott,DAL,RB,0,0,0,0,0,231.5,985.9,7.7,41.3,289.9,2.2,0,1.7,183.2
Cam Akers,LAR,RB,0,0,0,0,0,235.8,"1,021.90",7.3,33,263.4,1.6,0,2.4,177.1
Elijah Mitchell,SF,RB,0,0,0,0,0,239,"1,044.80",7.5,25.5,197.5,1.2,0,0.3,176.2
Breece Hall,NYJ,RB,0,0,0,0,0,226.1,"1,030.80",6.9,33.7,252.1,1.3,0,1.2,175
J.K. Dobbins,BAL,RB,0,0,0,0,0,197.4,943.8,7.8,32.1,236,1.3,0,0.5,171.5
Josh Jacobs,LV,RB,0,0,0,0,0,224.6,966.8,7.7,36.3,250.6,0.9,0,1.4,170.6
Damien Harris,NE,RB,0,0,0,0,0,207.7,952.1,9.5,17.4,131.5,0.5,0,1.1,166.3
Miles Sanders,PHI,RB,0,0,0,0,0,197.9,"1,022.00",5.7,29.3,206.2,1.2,0,1.4,161.2
Travis Etienne Jr.,JAC,RB,0,0,0,0,0,171,793.3,5.2,47.4,378.9,1.9,0,1,158
Rashaad Penny,SEA,RB,0,0,0,0,0,183.8,966.7,7,20,149.4,0.6,0,0.8,155.6
Devin Singletary,BUF,RB,0,0,0,0,0,181.3,846.2,6,32.9,223,1.3,0,1,148.8
Clyde Edwards-Helaire,KC,RB,0,0,0,0,0,173.5,792.5,5.6,35.8,270.4,1.9,0,1,148.7
Cordarrelle Patterson,ATL,RB,0,0,0,0,0,137,628.9,4.7,44.4,405.1,2.5,0,0.3,145.6
Tony Pollard,DAL,RB,0,0,0,0,0,151,696,3.9,44.2,361.5,2.2,0,0.4,142
AJ Dillon,GB,RB,0,0,0,0,0,175.4,752.7,5.9,30,242.5,1.3,0,0.8,141.2
Antonio Gibson,WAS,RB,0,0,0,0,0,177.1,751,5.7,27.2,206.9,1,0,1.2,133.4
Rhamondre Stevenson,NE,RB,0,0,0,0,0,168.7,690.7,5.6,28.9,215.5,1.1,0,0.5,129.5
